PARENT_SITE_ORG,CHILD_SITE_ORG,SCTR_MBR_NM,CURC,YEAR_MON,SCENARIO,AMT
[Site Group].[EMS_Group],[Site Org].[ASEInc_Group].[EMS_Group].[U_Group].[USI],EMSEMS,USD K,2014_Apr,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[NewK_Group Total-Consol],TeLogic,USD K,2014_Jan,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASESH].[ASESH_AT],AsLogic,USD K,2014_Dec,Actual,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[ASEE].[ASEEKH],BGA,USD K,2014_Jan,ForecastV2,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASEKH],AsLogic,NTD K,2014_Sep,ForecastV2,1
[Site Group].[Holdings],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Holdings].[MSJAPAN],OtOther,USD K,2014_Oct,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[USI_T].[U_Group Total-Consol],EMSEMS,NTD K,2014_Feb,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[Oth_Manufactors-Elim],AsLogic,USD K,2014_Sep,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[NewK_Group Total-Consol],AsLogic,USD K,2014_Feb,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ISELAB].[ISEUS],TeLogic,USD K,2014_Jul,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[Holdings-Consol],OtOther,USD K,2014_Mar,Actual,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[M_Group Elim].[M_Group-Elim],BGA,NTD K,2014_Nov,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ISELAB].[ISEUS],TeLogic,NTD K,2014_Mar,Actual,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[AUElim],AsLogic,NTD K,2014_Oct,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],TeLogic,NTD K,2014_Feb,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[ASE_T].[ASEInc_Group Total-Consol],TeLogic,NTD K,2014_Jan,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASESH].[ASESH_AT],TeLogic,USD K,2014_Jul,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[Oth_Manufactors-Consol],AsLogic,NTD K,2014_Mar,ForecastV2,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[T_Group Total-Elim],TeLogic,NTD K,2014_Feb,Actual,1
